record_id,wearlog_place,wearlog_place_english
IZTECH_S001,NA,NA
IZTECH_S002,NA,NA
IZTECH_S003,NA,NA
IZTECH_S004,NA,NA
IZTECH_S005,NA,NA
IZTECH_S006,NA,NA
IZTECH_S007,NA,NA
IZTECH_S008,NA,NA
IZTECH_S008,komodinimde,on my nightstand
IZTECH_S008,masanın üstü,on the table
IZTECH_S008,masanın üstüne,on the table
IZTECH_S009,kitaplık,bookshelf
IZTECH_S009,NA,NA
IZTECH_S009,makyaj masası,makeup table
IZTECH_S009,makyaj masasının üstünde,on the makeup table
IZTECH_S009,kütüphane,library
IZTECH_S009,kitaplıkta,in the library
IZTECH_S009,makyaj masasında,at the makeup table
IZTECH_S009,komodin,nightstand
IZTECH_S009,çantamda,in my bag
IZTECH_S010,NA,NA
IZTECH_S011,NA,NA
IZTECH_S012,yatağımın yanı,beside my bed
IZTECH_S012,NA,NA
IZTECH_S012,Koltuğun yanı,Next to the seat
IZTECH_S013,NA,NA
IZTECH_S014,NA,NA
IZTECH_S014,çalışma masası,desk
IZTECH_S014,"Baş ucundaki komidinde, 1 saat kestirmek üzere.","On the bedside table, to take a nap for 1 hour."
IZTECH_S014,"Baş ucundaki komidin, 1 saat kestirmek için","Bedside nightstand, to take a 1-hour nap"
IZTECH_S014,Baş ucundaki komidin,The bedside nightstand
IZTECH_S014,Spor yaptığım yerdeki yandaki komidin,The bedside table next to the place where I exercise
IZTECH_S014,"Hemen yanımda, aynı ışığa maruzuz","Right next to me, we are exposed to the same light"
IZTECH_S014,Spor yaptığım yerde yanımda,With me at the place where I do sports
IZTECH_S014,"Hemen yanımda, açık ışığı görmekte","Right next to me, can see the open light"
IZTECH_S015,NA,NA
IZTECH_S015,masada,on the table
IZTECH_S015,yatağın üstü,on the bed
IZTECH_S016,NA,NA
IZTECH_S016,banyo tezgahi,bathroom counter
IZTECH_S016,masada,on the table
IZTECH_S016,masa,table
IZTECH_S017,NA,NA
