record_id,redcap_repeat_instrument,redcap_repeat_instance,age,sex,gender,native_language,language_specification,employment_status,comments,consent
IZTECH_S001,,,,,,,,,,0
IZTECH_S001,demografik_bilgiler,1,27,1,1,1,,0,,
IZTECH_S002,,,,,,,,,,0
IZTECH_S002,demografik_bilgiler,1,24,1,1,1,,4,,
IZTECH_S003,,,,,,,,,,0
IZTECH_S003,demografik_bilgiler,1,23,1,1,1,,4,,
IZTECH_S004,,,,,,,,,,0
IZTECH_S004,demografik_bilgiler,1,25,1,1,1,,4,,
IZTECH_S005,,,,,,,,,,0
IZTECH_S005,demografik_bilgiler,1,25,1,1,1,,4,,
IZTECH_S006,,,,,,,,,,0
IZTECH_S006,demografik_bilgiler,1,29,2,2,1,,0,,
IZTECH_S007,,,,,,,,,,0
IZTECH_S007,demografik_bilgiler,1,23,2,2,1,,4,,
IZTECH_S008,,,,,,,,,,0
IZTECH_S008,demografik_bilgiler,1,23,1,1,1,,4,,
IZTECH_S009,,,,,,,,,,0
IZTECH_S009,demografik_bilgiler,1,32,1,1,1,,4,,
IZTECH_S010,,,,,,,,,,0
IZTECH_S010,demografik_bilgiler,1,26,1,1,1,,4,,
IZTECH_S011,,,,,,,,,,0
IZTECH_S011,demografik_bilgiler,1,22,2,2,1,,0,,
IZTECH_S012,,,,,,,,,,0
IZTECH_S012,demografik_bilgiler,1,24,2,2,1,,4,,
IZTECH_S013,,,,,,,,,,0
IZTECH_S013,demografik_bilgiler,1,23,1,1,1,,1,,
IZTECH_S014,,,,,,,,,,0
IZTECH_S014,demografik_bilgiler,1,21,2,2,1,,1,,
IZTECH_S015,,,,,,,,,,0
IZTECH_S015,demografik_bilgiler,1,27,1,1,1,,0,,
IZTECH_S016,,,,,,,,,,0
IZTECH_S016,demografik_bilgiler,1,24,2,2,1,,0,,
IZTECH_S017,,,,,,,,,,0
IZTECH_S017,demografik_bilgiler,1,21,1,1,1,,4,,
