#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.2.2
LOG_FILE_VERSION : 1.0.3
LOG_CREATION_SV : 2.2.2
SUBJECT_NAME : IZTECH_S004_e
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 01/01/2000
DEVICE_PLACEMENT : 
SUBJECT_DESCRIPTION : -
DEVICE_ID : 4536
DEVICE_MODEL : AL0101
HARDWARE_VERSION : 1.0
FIRMWARE_VERSION : 1.8
MEMORY_SIZE : 7963136
LOG_SIZE : 260908
MEMORY_USAGE : 3.28 %
BATTERY_VOLTAGE : 4.1953
ERROR_FLAG : -
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : -
ORIENTATION : 16
MODE : -
INTERVAL : -
DATA_CORRECTION : 0
DATA_CORRECTION : 0
FILE_DATE_TIME : 21/01/2025 15:25:18
CONNECTION_SYSTEM_DATE_TIME : 21/01/2025 15:24:53
CONNECTION_DEVICE_DATE_TIME : 21/01/2025 15:24:53
DEVICE_PLACEMENT : 
+-------------------------------------------------------+
DATE/TIME;EVENT;TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;IR LIGHT;CAP_SENS_1;CAP_SENS_2;F1;F2;F3;F4;F5;F6;F7;F8;MELANOPIC EDI;CLEAR;STATE
20/01/2025 10:48:48;0;20.19;16;0;0;0;0;0;0;217.60;0.01;216;152;0.0560;0.0102;0.1025;0.0153;0.0264;0.0356;0.0337;0.0164;621.88;0.06;4
20/01/2025 10:49:18;0;20.25;16;8;0.266667;0;0;0;0;164.95;0.01;216;152;0.0021;0.0090;0.0081;0.0162;0.0264;0.0356;0.0337;0.0164;102.13;0.06;4
20/01/2025 10:49:48;0;20.31;16;950;31.6667;31;1.03333;48;1.6;159.72;0.01;217;154;0.0020;0.0087;0.0078;0.0157;0.0256;0.0345;0.0326;0.0159;98.89;0.06;0
20/01/2025 10:50:18;0;19.94;16;2992;99.7333;105;3.5;173;5.76667;143.05;0.01;217;154;0.0020;0.0075;0.0071;0.0140;0.0228;0.0317;0.0308;0.0155;85.45;0.06;0
20/01/2025 10:50:48;0;19.88;4;4924;164.133;148;4.93333;381;12.7;86.66;0.01;231;138;0.0012;0.0044;0.0041;0.0081;0.0138;0.0195;0.0197;0.0103;49.37;0.04;0
20/01/2025 10:51:18;0;19.94;16;1463;48.7667;44;1.46667;115;3.83333;134.31;0.01;231;138;0.0018;0.0070;0.0064;0.0129;0.0215;0.0300;0.0290;0.0147;78.47;0.05;0
20/01/2025 10:51:48;0;19.88;16;58;1.93333;2;0.0666667;2;0.0666667;186.42;0.01;233;170;0.0025;0.0098;0.0090;0.0181;0.0300;0.0411;0.0391;0.0197;111.01;0.07;0
20/01/2025 10:52:18;1;19.88;16;1636;54.5333;65;2.16667;67;2.23333;219.11;0.02;233;170;0.0029;0.0115;0.0107;0.0211;0.0353;0.0484;0.0462;0.0231;130.01;0.09;0
20/01/2025 10:52:48;0;19.88;16;617;20.5667;20;0.666667;35;1.16667;127.13;0.01;216;152;0.0016;0.0067;0.0061;0.0122;0.0203;0.0274;0.0261;0.0128;78.10;0.04;4
20/01/2025 10:53:18;0;19.94;16;0;0;0;0;0;0;153.18;0.01;216;152;0.0019;0.0082;0.0074;0.0149;0.0245;0.0329;0.0311;0.0150;94.90;0.06;4
20/01/2025 10:53:48;0;20.00;16;0;0;0;0;0;0;153.19;0.01;215;152;0.0019;0.0082;0.0074;0.0150;0.0245;0.0329;0.0311;0.0150;94.94;0.06;4
20/01/2025 10:54:18;0;20.00;16;1564;52.1333;54;1.8;75;2.5;123.08;0.01;221;163;0.0016;0.0066;0.0061;0.0123;0.0196;0.0268;0.0256;0.0127;76.05;0.05;0
20/01/2025 10:54:48;0;19.81;16;51;1.7;1;0.0333333;5;0.166667;136.64;0.01;221;163;0.0018;0.0071;0.0067;0.0133;0.0219;0.0303;0.0291;0.0146;80.76;0.06;0
20/01/2025 10:55:18;0;19.75;16;0;0;0;0;0;0;290.28;0.02;224;166;0.0038;0.0153;0.0141;0.0281;0.0467;0.0639;0.0609;0.0301;172.93;0.12;0
20/01/2025 10:55:48;0;19.75;16;0;0;0;0;0;0;290.15;0.02;224;166;0.0038;0.0153;0.0140;0.0280;0.0467;0.0639;0.0609;0.0301;172.75;0.11;0
20/01/2025 10:56:18;0;19.75;16;2655;88.5;84;2.8;137;4.56667;140.74;0.02;223;166;0.0020;0.0075;0.0070;0.0140;0.0223;0.0314;0.0307;0.0158;85.05;0.06;0
20/01/2025 10:56:48;0;19.75;16;5845;194.833;220;7.33333;307;10.2333;36.90;0.00;223;166;0.0006;0.0022;0.0021;0.0043;0.0057;0.0077;0.0076;0.0043;26.23;0.02;0
20/01/2025 10:57:18;0;19.81;8;8597;286.567;364;12.1333;347;11.5667;102.16;0.01;231;168;0.0018;0.0056;0.0053;0.0105;0.0165;0.0226;0.0227;0.0144;61.32;0.05;0
20/01/2025 10:57:48;0;19.75;16;8022;267.4;328;10.9333;362;12.0667;32.64;0.01;231;168;0.0008;0.0016;0.0019;0.0031;0.0058;0.0074;0.0078;0.0072;16.50;0.02;0
20/01/2025 10:58:18;0;19.94;16;5261;175.367;177;5.9;289;9.63333;910.30;0.10;157;153;0.0230;0.0508;0.0667;0.1042;0.1521;0.1780;0.2005;0.2177;654.91;0.51;0
20/01/2025 10:58:48;0;19.81;16;3143;104.767;94;3.13333;230;7.66667;486.03;0.07;157;153;0.0166;0.0339;0.0440;0.0661;0.0754;0.0942;0.1081;0.1141;434.72;0.30;0
20/01/2025 10:59:18;0;20.00;1;2294;76.4667;59;1.96667;194;6.46667;39453.67;20.55;222;164;2.1154;3.5993;4.8660;6.4313;6.4648;7.4637;8.9541;12.1042;41457.82;35.71;0
20/01/2025 10:59:48;0;20.88;1;212;7.06667;4;0.133333;16;0.533333;72360.19;34.22;222;164;3.3130;5.6790;7.7226;10.2145;12.3236;14.1933;17.0466;22.8088;64651.32;60.50;0
20/01/2025 11:00:18;0;21.44;2;54;1.8;0;0;1;0.0333333;70837.55;32.48;211;161;2.7493;4.6946;6.3573;8.3946;12.6482;14.6320;17.6318;23.6951;50793.80;56.53;0
20/01/2025 11:00:48;0;21.94;1;1090;36.3333;16;0.533333;118;3.93333;74222.49;35.66;211;161;3.4066;5.8288;7.9210;10.4759;12.6550;14.5996;17.5589;23.5398;66113.55;62.42;0
20/01/2025 11:01:18;0;22.38;2;1273;42.4333;20;0.666667;128;4.26667;54987.94;26.45;215;165;2.5521;4.3732;5.9164;7.7924;9.3687;10.7790;12.9368;17.3206;49508.71;46.21;0
20/01/2025 11:01:48;0;22.69;2;598;19.9333;9;0.3;55;1.83333;80747.27;38.43;215;165;3.6975;6.3459;8.6253;11.4002;13.7555;15.8475;19.0328;25.4761;72148.51;67.60;0
20/01/2025 11:02:18;0;23.06;2;1080;36;13;0.433333;105;3.5;74714.63;34.48;212;158;3.3672;5.8352;7.9514;10.4995;12.7294;14.6013;17.4961;23.2798;66705.70;61.83;0
20/01/2025 11:02:48;0;23.56;2;451;15.0333;2;0.0666667;54;1.8;72705.43;33.04;212;158;3.2834;5.7144;7.7898;10.2752;12.3507;14.1284;16.8872;22.3969;65670.53;59.79;0
20/01/2025 11:03:18;0;23.94;1;877;29.2333;17;0.566667;80;2.66667;70992.40;32.33;210;157;3.1963;5.5646;7.5817;10.0003;12.0735;13.8143;16.5191;21.9259;63848.73;58.37;0
20/01/2025 11:03:48;0;24.25;1;1777;59.2333;36;1.2;177;5.9;50292.10;22.98;210;157;2.2933;3.9906;5.4162;7.1296;8.5471;9.7581;11.6443;15.4315;45696.41;41.47;0
20/01/2025 11:04:18;0;24.50;1;828;27.6;8;0.266667;94;3.13333;49353.69;22.65;212;155;2.2440;3.8967;5.3018;6.9870;8.3848;9.6049;11.4789;15.2414;44647.76;40.77;0
