record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,form_1_timestamp,form_1_complete,deneyim_kayd_timestamp,exp_time,current,past,type,location,loc_spec,descr,feedback,identity___1,identity___2,identity___3,identity___4,identity___5,identity_spec,social_type___1,social_type___2,social_type___3,social_type___4,removal,future_use,uuid_2,startdate_2,enddate_2,scheduledate_2,status_2,supplementaldata_2,serializedresult_2,deneyim_kayd_complete
IZTECH_S012,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZTECH_S012,deneyim_kayd,2,,,,,1,"2025-04-21 19:32",,2,3,,"Kendimi cyborg gibi hissediyorum :D Bu kadar çok sensör ile dolaşmak acayip hissettiriyor. Herkes bana bakıyor ve anlam vermeye çalışıyor. Demin köyde Dr. Musa ile karşılaştım ve bana pis pis bakıp ""My trouble"" dedi",1,0,0,1,1,0,,1,0,1,0,0,"Sanırım bu cihazı kullanmak baya havalı",97C19D70-1ECE-11F0-AFBD-7FCE33DAFE91,"2025-04-21 19:35:10","2025-04-21 19:39:04",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-21 19:39:05"",    ""utcTime"": ""2025-04-21 16:35:10.663615Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""10"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""77""  }",result.zip,2
IZTECH_S012,deneyim_kayd,3,,,,,2,,"2025-04-22 17:00",3,2,Uygula,"Günlük hayattaki yaşadıklarımdan dolayı stabil bir duygu durumuna sahip değilim. Duygu durumu kaydı yaparken verilerin anonim toplanmaması, ne kadar dürüst bir şekilde formu doldurmam konusunda endişe yaratıyor",0,0,0,0,0,0,,0,0,0,0,0,etkilemeyecek,96B05C60-1FFE-11F0-9A6E-1958FDC001F5,"2025-04-23 07:51:15","2025-04-23 07:54:12",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 07:54:12"",    ""utcTime"": ""2025-04-23 04:51:15.878161Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""10"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""70""  }",result.zip,2
IZTECH_S012,deneyim_kayd,4,,,,,2,,"2025-04-22 20:00",3,2,,"Cihaz uzun kulanım için bir tık ağır (çünkü gözlüğümün ağırlığı normaldekinin 3 katına çıkıyor). Taktıktan 8-10 saat geçtikten sonra hafif acı verdiğinden çıkartma ihtiyacı hissediyorum veya gözlük yavaşça öne doğru kaymaya başlıyor. Kulanıcı açısından, sensörlerin gözlüğe monte edilmesi yerine ""kafa bandı kamera"" gibi bir aparatla kullanılması daha mantıklı bir seçenek olabilir.",0,0,0,0,0,0,,0,0,0,0,0,"Kaymayı önlemek için gözlük ""nose pads"" kısımlarını sterilize edebilirim",0B12AC20-1FFF-11F0-9A6E-1958FDC001F5,"2025-04-23 07:54:31","2025-04-23 08:00:22",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 08:00:22"",    ""utcTime"": ""2025-04-23 04:54:31.138619Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""10"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""62""  }",result.zip,2
IZTECH_S012,deneyim_kayd,5,,,,,2,,"2025-04-21 16:00",2,2,,"Cihaz kayıt işlemlerinin 75 süreceği konusunda katılımcılar çok net bir şekilde bilgilendirilmeli. Böylece geçen zamana dayalı duygu değişimlerinin önüne geçilebilir",0,0,0,0,0,0,,0,0,0,0,0," -",057492A0-2000-11F0-9A6E-1958FDC001F5,"2025-04-23 08:01:31","2025-04-23 08:03:25",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 08:03:26"",    ""utcTime"": ""2025-04-23 05:01:31.210194Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""10"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""62""  }",result.zip,2
IZTECH_S012,deneyim_kayd,6,,,,,1,"2025-04-23 21:28",,2,2,,"""Kestirmek"". Kısa süreli uyku için koltuğa uzandım ancak bu durumu nereye raporlamalıyım, seçenek yok🙈",0,0,0,0,0,0,,0,0,0,0,1,"her kestirdiğimde aklım Melidos projesini sabote edip etmediğimde olacak (yani kestiremeyeceğim)",B6540130-2070-11F0-A88C-8B4937D66762,"2025-04-23 21:28:11","2025-04-23 21:30:13",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 21:30:14"",    ""utcTime"": ""2025-04-23 18:28:11.587598Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""10"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""62""  }",result.zip,2
IZTECH_S012,deneyim_kayd,7,,,,,1,"2025-04-23 21:46",,2,2,,"Kestirme sürelerini de uykudan sayıyor muyuz? bu konu hakkında bilgilendirme yapılmadığı için cihazın uykuya geçiş butonuna basmadım",0,0,0,0,0,0,,0,0,0,0,0," -",32185A30-2073-11F0-A88C-8B4937D66762,"2025-04-23 21:45:58","2025-04-23 21:47:04",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 21:47:04"",    ""utcTime"": ""2025-04-23 18:45:58.227628Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""10"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""62""  }",result.zip,2
IZTECH_S012,deneyim_kayd,8,,,,,1,"2025-04-23 22:10",,3,2,,"Gün sonu ışık maruziyeti günlüğünde ışık kaynağı ve aktiviteleri paylaşırken açık olmazsam deneye dair verileri sabote etmiş olurum (ki bunu asla yapmayacağım) ancak öteki türlü de hayatıma dair çok fazla detay paylaştığım için ister istemez kendimi gergin hissediyorum. Data, anonim bir şekilde toplanmalı",0,0,0,0,0,0,,0,0,0,0,0,"Tam gaz devam",A6BA91C0-2076-11F0-AE02-0D5689AEB477,"2025-04-23 22:10:42","2025-04-23 22:12:20",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 22:12:21"",    ""utcTime"": ""2025-04-23 19:10:42.395936Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""10"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""62""  }",result.zip,2
IZTECH_S012,deneyim_kayd,9,,,,,1,"2025-04-23 22:12",,3,2,,"Deneyin ciddiyeti ile ilgili, deneyin tanıtımında (kapıya asılan afişler vb.) daha fazla bilgilendirme yapılmalı (bkz: gün içerisinde toplam 5-6 zorunlu anket olduğu, akşam formlarının doldurulması gerektiği, cihaza dair her işlemin rapor edilmesi gerektiği ve cihaz ile ilgili yorumların düzenli paylaşılması). Deney daha cazip hale getirilmeli. Bu deney ""minimum"" 3000 tl'yi hak ediyor",0,0,0,0,0,0,,0,0,0,0,0,"Sizin için ne gerekiyorsa yapmaya devam edeceğim",E2114DE0-2076-11F0-AE02-0D5689AEB477,"2025-04-23 22:12:21","2025-04-23 22:15:40",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-23 22:15:40"",    ""utcTime"": ""2025-04-23 19:12:21.950464Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""10"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""62""  }",result.zip,2
IZTECH_S012,deneyim_kayd,10,,,,,1,"2025-04-24 10:39",,3,1,,"cihazın butonuna basıyorum ancak uyandığımda ve uyuduğumda birebir aynı (kırmızı renkli) sinyal vermesi, ""şu anda cihazı doğru ayarladım mı?"" kuşkusu oluşturuyor",0,0,0,0,0,0,,0,0,0,0,0,"umarım her şey yolundadır",9EB8EA80-20DF-11F0-8D2D-D37AA25066C4,"2025-04-24 10:42:06","2025-04-24 10:43:52",,1,"{    ""devicemanufacturer"": ""Apple"",    ""deviceplatform"": ""iOS"",    ""deviceversion"": ""18.3.2"",    ""syncdate"": ""2025-04-24 10:43:53"",    ""utcTime"": ""2025-04-24 07:42:06.120542Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""+03"",    ""appversion"": ""2.3.0"",    ""buildnumber"": ""164"",    ""configversion"": ""10"",    ""devicemodel"": ""iPhone14,6"",    ""percentComplete"": ""62""  }",result.zip,2
